Podrozdział;;Kategoria główna;
23.18;Inne czynności chirurgii stomatologicznej;23.1802;Resekcja wierzchołka korzenia zęba przedniego
23.18;Inne czynności chirurgii stomatologicznej;23.1803;Resekcja wierzchołka korzenia zęba bocznego
23.18;Inne czynności chirurgii stomatologicznej;23.1804;Resekcja wierzchołka korzenia zęba każdego następnego zęba podczas tego samego zabiegu i dotyczy zębów
23.18;Inne czynności chirurgii stomatologicznej;23.1805;Hemisekcja zęba
23.18;Inne czynności chirurgii stomatologicznej;23.1806;Reimplantacja zęba
23.18;Inne czynności chirurgii stomatologicznej;23.1807;Wyłuszczenie torbieli zębopochodnej
23.18;Inne czynności chirurgii stomatologicznej;23.1808;Wyłuszczenie kamienia z przewodu ślinianki
23.18;Inne czynności chirurgii stomatologicznej;23.1809;Chirurgiczne zaopatrzenie małej rany obejmującej do 3 zębodołów włącznie ze szwem
23.18;Inne czynności chirurgii stomatologicznej;23.1810;Chirurgiczne zaopatrzenie małej rany obejmującej do 2-3 zębodołów włącznie z opracowaniem i szwami
23.18;Inne czynności chirurgii stomatologicznej;23.1811;Chirurgiczne zaopatrzenie dużej rany w obrębie połowy szczęki włącznie ze szwami
23.18;Inne czynności chirurgii stomatologicznej;23.1812;Chirurgiczne zaopatrzenie dużej, albo znacznie zanieczyszczonej rany w obrębie połowy szczęki włącznie z opracowaniem i szwami
23.18;Inne czynności chirurgii stomatologicznej;23.1813;Zatamowanie krwawienia w obrębie jamy ustnej - nie zaliczane w bezpośrednim połączeniu z zabiegiem chirurgicznym, chyba że zajmuje niewspółmiernie dużo czasu
23.18;Inne czynności chirurgii stomatologicznej;23.1814;Zatamowanie masywnego krwawienia w obrębie jamy ustnej przez podwiązanie, pokłucie naczyń bądź zatkanie kością
23.18;Inne czynności chirurgii stomatologicznej;23.1815;Założenie opatrunku chirurgicznego
23.18;Inne czynności chirurgii stomatologicznej;23.1816;Ograniczone, miejscowe wycięcie wargi, języka
23.18;Inne czynności chirurgii stomatologicznej;23.1817;Krioterapia niewielkich zmian w obrębie tkanek miękkich jamy ustnej
23.18;Inne czynności chirurgii stomatologicznej;23.1819;Ograniczone wycięcie, zniszczenie zmiany podniebienia twardego
23.19;Wycięcie, plastyka w zakresie jamy ustnej;23.1901;Wycięcie małego guzka lub zmiany guzopodobnej, włókniaka
23.19;Wycięcie, plastyka w zakresie jamy ustnej;23.1902;Wycięcie przerostu błony śluzowej (guzy łagodne, zmiany guzopodobnej, nadziąślaki) w obrębie połowy szczęki
23.19;Wycięcie, plastyka w zakresie jamy ustnej;23.1903;Plastyka wyrostka zębodołowego w obrębie połowy szczęki
23.19;Wycięcie, plastyka w zakresie jamy ustnej;23.1904;Plastyka wyrostka zębodołowego szczęki lub części zębodołowej żuchwy z użyciem przeszczepu lub wszczepu
23.19;Wycięcie, plastyka w zakresie jamy ustnej;23.1905;Plastyka guza szczęki
23.19;Wycięcie, plastyka w zakresie jamy ustnej;23.1906;Plastyka połączenia lub przetoki ustno-zatokowej - jako samodzielne postępowanie lub jako następstwo ekstrakcji 
23.20;Nacięcie zmiany ropnej;23.2001;Nacięcie powierzchniowo, podśluzówkowo lub podskórnie leżącego ropnia włącznie z drenażem i opatrunkiem
23.20;Nacięcie zmiany ropnej;23.2002;Nacięcie z dojścia wewnątrz lub zewnątrzustnego głęboko leżącego ropnia włącznie z drenażem i opatrunkiem
23.20;Nacięcie zmiany ropnej;23.2003;Nacięcie ropowicy
23.21;Repozycja i unieruchomienie zęba i/lub złamanego fragmentu wyrostka zębodołowego;23.2101;Repozycja i unieruchomienie zwichniętego zęba lub grupy zębów
23.21;Repozycja i unieruchomienie zęba i/lub złamanego fragmentu wyrostka zębodołowego;23.2102;Repozycja i unieruchomienie złamanego fragmentu wyrostka zębodołowego z zębem lub zębami
23.21;Repozycja i unieruchomienie zęba i/lub złamanego fragmentu wyrostka zębodołowego;23.2103;Repozycja i unieruchomienie pośredniego, trudnego do repozycji lub wklinowanego fragmentu złamanego wyrostka zębodołowego
23.22;Złamanie w obrębie żuchwy i/lub szczęki;23.2201;Repozycja i unieruchomienie pojedynczego złamania żuchwy
23.22;Złamanie w obrębie żuchwy i/lub szczęki;23.2202;Repozycja i unieruchomienie wielokrotnego, z odłamami pośrednimi złamania żuchwy
23.22;Złamanie w obrębie żuchwy i/lub szczęki;23.2203;Repozycja i unieruchomienie poprzecznego lub strzałkowego złamania szczęki
23.22;Złamanie w obrębie żuchwy i/lub szczęki;23.2204;Repozycja i unieruchomienie złamania szczęki z przemieszczaniem odłamów ze złamaniami innych kości twarzy
23.22;Złamanie w obrębie żuchwy i/lub szczęki;23.2205;Tymczasowe zaopatrzenie złamanej szczęki lub szczęk
23.22;Złamanie w obrębie żuchwy i/lub szczęki;23.2206;Założenie szyny drucianej (nazębnej) przy zwichnięciach, reimplantacjach lub transplantacjach zębów, również założenie szyny przy zapaleniu kości, operacjachplastycznych lub resekcjach oraz szynowanie nieuszkodzonej, przeciwstawnej szczęki lub żuchwy
23.22;Złamanie w obrębie żuchwy i/lub szczęki;23.2207;Założenie szyny z pelotą lub płytą nagryzową przy złamaniach z przemieszczeniem szczęki lub dna oczodołu lub wyrostka kłykciowego żuchwy
23.22;Złamanie w obrębie żuchwy i/lub szczęki;23.2208;Badanie kontrolne w trakcie unieruchomienia złamanych szczęk
23.22;Złamanie w obrębie żuchwy i/lub szczęki;23.2209;Zdjęcie jednej szyny przy wymianie unieruchomienia lub zakończeniu leczenia zachowawczego złamania szczęk
23.22;Złamanie w obrębie żuchwy i/lub szczęki;23.2210;Repozycja i unieruchomienie zwichnięcia żuchwy
23.22;Złamanie w obrębie żuchwy i/lub szczęki;23.2211;Repozycja i unieruchomienie zastarzałego zwichnięcia żuchwy
23.23;Badanie ortodontyczne;23.2301;Opracowanie na piśmie, na zlecenie lub życzenie, planu leczenia ortodontycznego, włącznie z oceną modeli i kosztów
23.23;Badanie ortodontyczne;23.2302;Wycisk jednej szczęki dla diagnozy, planowania i kontroli
23.23;Badanie ortodontyczne;23.2303;Postępowanie przygotowujące do wykonania aparatu, wyciski , ustalenie zwarcia
23.23;Badanie ortodontyczne;23.2304;Fotografia (profilu i en face) z oceną (każdego zdjęcia)
23.23;Badanie ortodontyczne;23.2305;Zastosowanie dodatkowych metod diagnostycznych
23.23;Badanie ortodontyczne;23.2306;Analiza telerentgenogramu
23.23;Badanie ortodontyczne;23.2307;Wykonanie zgryzu konstrukcyjnego
23.23;Badanie ortodontyczne;23.2308;Korekcyjne szlifowanie zębów
23.23;Badanie ortodontyczne;23.2309;Środki do usunięcia szkodliwych przyzwyczajeń i dysfunkcji, również porady i pouczenia, jeżeli są związane z praktycznymi wskazaniami lub ćwiczeniami (każda wizyta)
23.23;Badanie ortodontyczne;23.2310;Utrzymywacz przestrzeni jako samodzielne postępowanie
23.23;Badanie ortodontyczne;23.2312;Środki do wprowadzenia pojedynczego przemieszczonego zęba do łuku, po chirurgicznym jego odsłonięciu
23.24;Leczenie aparatem ortodontycznym;23.2401;Leczenie aparatem ortodontycznym ruchomym, jednoszczękowym
23.24;Leczenie aparatem ortodontycznym;23.2402;Leczenie aparatem ortodontycznym ruchomym, dwuszczękowym nieelastycznym
23.24;Leczenie aparatem ortodontycznym;23.2403;Leczenie wady zgryzu aparatem ruchomym ponadstandardowym
23.24;Leczenie aparatem ortodontycznym;23.2404;Oddanie nowego aparatu ruchomego połączone z instruktażem właściwego postępowania
23.24;Leczenie aparatem ortodontycznym;23.2405;Kontrola przebiegu leczenia bez aparatu
23.24;Leczenie aparatem ortodontycznym;23.2406;Kontrola przebiegu leczenia z aparatem ruchomym
23.25;Naprawa aparatu ortodontycznego;23.2501;Naprawa aparatu bez wycisku
23.25;Naprawa aparatu ortodontycznego;23.2502;Naprawa aparatu z wyciskiem
23.25;Naprawa aparatu ortodontycznego;23.2503;Rekonstrukcja aparatu ruchomego przy pacjencie w niewielkim zakresie
23.25;Naprawa aparatu ortodontycznego;23.2504;Rekonstrukcja aparatu ruchomego obejmującego całą górną lub dolną część aparatu
23.26;Inne środki ortodontyczne;23.2601;Środki dla przebudowy szczęki, łącznie z retencją w przypadkach prostych
23.26;Inne środki ortodontyczne;23.2602;Środki dla przebudowy szczęki, łącznie z retencją w przypadkach średniotrudnych
23.26;Inne środki ortodontyczne;23.2603;Środki dla przebudowy szczęki, łącznie z retencją w przypadkach trudnych
23.26;Inne środki ortodontyczne;23.2604;Środki dla przebudowy szczęki, łącznie z retencją w przypadkach bardzo trudnych
23.26;Inne środki ortodontyczne;23.2605;Środki dla ustawienia żuchwy w prawidłowym zgryzie w kierunku strzałkowym i bocznym, włącznie z retencją w przypadkach prostych
23.26;Inne środki ortodontyczne;23.2606;Środki dla ustawienia żuchwy w prawidłowym zgryzie w kierunku strzałkowym i bocznym, włącznie z retencją w przypadkach średniotrudnych
23.26;Inne środki ortodontyczne;23.2607;Środki dla ustawienia żuchwy w prawidłowym zgryzie w kierunku strzałkowym i bocznym, włącznie z retencją w przypadkach trudnych
23.26;Inne środki ortodontyczne;23.2608;Środki dla ustawienia żuchwy w prawidłowym zgryzie w kierunku strzałkowym i bocznym, włącznie z retencją w przypadkach bardzo trudnych
23.26;Inne środki ortodontyczne;23.2609;Osadzenie zamka ortodontycznego na zębie
23.26;Inne środki ortodontyczne;23.2610;Kontrola leczenia aparatem stałym
23.26;Inne środki ortodontyczne;23.2611;Proteza dziecięca częściowa
23.26;Inne środki ortodontyczne;23.2612;Proteza dziecięca całkowita
23.27;Leczenie protetyczne;23.2701;Opracowanie na piśmie na zlecenie lub życzenie planu leczenia i kosztów zaopatrzenia protetycznego włącznie z oceną modeli
23.27;Leczenie protetyczne;23.2702;Wycisk szczęki dla celów wykonania modelu sytuacyjnego, również wycisk częściowy lub wycisk zgryzowy dla celów diagnostycznych lub planowania
23.27;Leczenie protetyczne;23.2703;Zabiegi przygotowujące (pobieranie wycisków, proste ustalenie zgryzu lub tp. dla wykonania modelu obu szczęk celem oceny diagnostycznej i planowania łącznie z wyceną)
23.27;Leczenie protetyczne;23.2704;Przygotowanie uszkodzonego zęba do osadzenia korony poprzez odbudowę kikuta zęba wkładem koronowo-korzeniowym lanym lub śrubowym
23.27;Leczenie protetyczne;23.2705 ;Ochrona oszlifowanego zęba kształka, formówka
23.27;Leczenie protetyczne;23.2706;Ochrona oszlifowanego zęba i zabezpieczenie funkcji prowizoryczną koroną lub zastąpienia brakującego zęba elementem prowizorycznego mostu, za koronę lub element mostu
23.28;Odbudowa lub odtworzenie zęba;23.2801;Odbudowa pojedynczego zęba przy zastosowaniu korony lanej
23.28;Odbudowa lub odtworzenie zęba;23.2802;Odbudowa pojedynczego zęba przy zastosowaniu korony licowanej
23.28;Odbudowa lub odtworzenie zęba;23.2803;Odbudowa pojedynczego zęba przy zastosowaniu korony pochewkowej lub częściowej (szlifowanie zęba ze stopniem okrężnym)
23.28;Odbudowa lub odtworzenie zęba;23.2804;Czynności związane z odtworzeniem funkcji koron i prowizorycznych mostów - ponowne osadzenie korony, zęba ćwiekowego, licówki również zdjęcie korony żywiczej
23.28;Odbudowa lub odtworzenie zęba;23.2805;Czynności związane z odtworzeniem funkcji koron i prowizorycznych mostów - odnowienie licówki, licowania korony itp.
23.28;Odbudowa lub odtworzenie zęba;23.2806;Czynności związane z odtworzeniem funkcji koron i prowizorycznych mostów - zdjęcie i powtórne umocowanie prowizorycznej korony
23.29;Inne procedury z zakresu protetyki;23.2901;Likwidacja dużych zaburzeń artykulacyjnych i zgryzowych przed uzupełnieniem braków zębowych protezami lub mostami
23.29;Inne procedury z zakresu protetyki;23.2902;Zmiana położenia szczęki za pomocą płytki zgryzowej (prowadzącej , ustalającej zwarcie, relaksacyjnej)
23.29;Inne procedury z zakresu protetyki;23.2903;Wycisk czynnościowy za pomocą łyżki indywidualnej
23.30;Uzupełnienie braków zębowych mostem;23.3001;Uzupełnienie braków zębowych mostem - za każdy ząb filarowy odbudowany koroną laną
23.30;Uzupełnienie braków zębowych mostem;23.3002;Uzupełnienie braków zębowych mostem - za każdy ząb filarowy odbudowany koroną licowaną
23.30;Uzupełnienie braków zębowych mostem;23.3003;Uzupełnienie braków zębowych mostem - za każdy ząb filarowy odbudowany koroną pochewkową lub częściową
23.30;Uzupełnienie braków zębowych mostem;23.3004;Uzupełnienie braków zębowych mostem - za każdy ząb filarowy odbudowany koroną teleskopową
23.30;Uzupełnienie braków zębowych mostem;23.3005;"Dalsze czynności przy uzupełnianiu braków zębowych za pomocą na stałe mocowanych mostów za każdy element (punkt) przęsła,  liczy się również element jednobrzeżny"
23.30;Uzupełnienie braków zębowych mostem;23.3006;Uzupełnienie braków zębowych za pomocą złożonych na stałe umocowanych lub ruchomych mostów i/lub złożonych stałych/ruchomych uzupełnień - dodatkowo przy zastosowaniu przęsła, włącznie z elementem łączącym każde przęsło
23.30;Uzupełnienie braków zębowych mostem;23.3007;Uzupełnienie braków zębowych za pomocą złożonych na stałe umocowanych lub ruchomych mostów i/lub złożonych stałych /ruchomych uzupełnień - dodatkowo przy zastosowaniu śrub, sztyftów sprężynowych lub tp. - za każdy element łączący
23.30;Uzupełnienie braków zębowych mostem;23.3008;Uzupełnienie braków zębowych za pomocą złożonych na stałe umocowanych lub ruchomych mostów i/lub złożonych stałych /ruchomych uzupełnień - dodatkowo przy zastosowaniu zatrzasków, zawiasów, zasuw lub zakotwiczeń - za każdy element (matrycę i stempel należy traktować jako całość)
23.30;Uzupełnienie braków zębowych mostem;23.3009;Czynności dla odtworzenia funkcji mostów lub mocowanych na stałe szyn -powtórne osadzenie mostu lub stałej szyny z dwoma zakotwiczeniami
23.30;Uzupełnienie braków zębowych mostem;23.3010;Czynności dla odtworzenia funkcji mostów lub mocowanych na stałe szyn- powtórne osadzenie mostu lub stałej szyny z więcej niż dwoma zakotwiczeniami
23.30;Uzupełnienie braków zębowych mostem;23.3011;Czynności dla odtworzenia funkcji mostu - odnowienie licówki, licowania korony filarowej
23.31;Uzupełnienie braków zębowych - inne;23.3101;Uzupełnienie braków zębowych przy pomocy protezy częściowej włącznie z prostymi doginanymi klamrami w zakresie 1-4 brakujących zębów
23.31;Uzupełnienie braków zębowych - inne;23.3102;Uzupełnienie braków zębowych przy pomocy protezy częściowej włącznie z prostymi doginanymi klamrami w zakresie 5-8 brakujących zębów
23.31;Uzupełnienie braków zębowych - inne;23.3103;Uzupełnienie braków zębowych przy pomocy protezy częściowej włącznie z prostymi doginanymi klamrami w zakresie więcej niż 8 zębów
23.31;Uzupełnienie braków zębowych - inne;23.3104;Zaopatrzenie bezzębnej szczęki protezą całkowitą w szczęce
23.31;Uzupełnienie braków zębowych - inne;23.3105;Zaopatrzenie bezzębnej szczęki protezą całkowitą w żuchwie
23.31;Uzupełnienie braków zębowych - inne;23.3106;Zastosowanie metalowej podstawy przy bezzębnej szczęce
23.31;Uzupełnienie braków zębowych - inne;23.3107;Zastosowanie prostych dwuramiennych elementów utrzymujących lub podpierających lub wieloramiennych elementów doginanych o podobnym działaniu dodatkowo do każdej protezy- przy prowizorycznych protezach jedynie w szczególnych przypadkach, za element
23.31;Uzupełnienie braków zębowych - inne;23.3108;Zastosowanie płyty metalowej z elementami utrzymującymi i podporami
23.31;Uzupełnienie braków zębowych - inne;23.3109;Zastosowanie odlewanych skomplikowanych elementów utrzymujących i podpierających przy zastosowaniu jednego elementu utrzymującego i podpierającego - nie przy protezach prowizorycznych
